z,y,x,lat,lon,alt_m,u_cma,v_cma,w_cma,vr_stage2_roi
0,0,0,54.160000000000004,73.04,0.0,1.7357118129730225,4.449885368347168,0.002402396174147725,1.7739109992980957
0,0,48,54.160000000000004,76.88,0.0,1.0586936473846436,5.370522975921631,0.0008669102098792791,3.198045015335083
0,0,96,54.160000000000004,80.72,0.0,2.1287455558776855,8.080451011657715,0.006123893894255161,4.966636657714844
0,0,144,54.160000000000004,84.56,0.0,-0.4459612965583801,4.121727466583252,0.00760781392455101,3.6714248657226562
0,0,192,54.160000000000004,88.4,0.0,-0.341892272233963,1.0907055139541626,0.004540527705103159,1.122458577156067
0,0,240,54.160000000000004,92.24,0.0,0.2549501657485962,0.7559723854064941,-0.009910492226481438,0.6046404838562012
0,0,288,54.160000000000004,96.08,0.0,0.07851788401603699,2.9089996814727783,0.010691244155168533,2.7854104042053223
0,0,336,54.160000000000004,99.92,0.0,0.6316753625869751,1.5677237510681152,-0.019712913781404495,1.464358925819397
0,0,384,54.160000000000004,103.76,0.0,-2.4549779891967773,0.5244620442390442,-0.004353643860667944,0.5447730422019958
0,0,432,54.160000000000004,107.6,0.0,-0.1849585771560669,1.473908543586731,0.011360344476997852,1.4398682117462158
0,0,480,54.160000000000004,111.44,0.0,2.4486348628997803,2.0689282417297363,0.0021755793131887913,2.6128013134002686
0,0,528,54.160000000000004,115.28,0.0,1.685776948928833,-0.6457853317260742,0.0030979725997895002,0.009628158994019032
0,0,576,54.160000000000004,119.12,0.0,0.9749696850776672,0.6814281344413757,0.0057482635602355,1.0551164150238037
0,0,624,54.160000000000004,122.96000000000001,0.0,1.2928082942962646,0.8883617520332336,-0.003014066256582737,1.4511678218841553
0,0,672,54.160000000000004,126.80000000000001,0.0,0.9709332585334778,-0.5158048868179321,-0.002314720768481493,0.19493316113948822
0,0,720,54.160000000000004,130.64,0.0,0.36093974113464355,-0.43325281143188477,-0.0008083637221716344,-0.07471221685409546
0,0,768,54.160000000000004,134.48,0.0,1.3438498973846436,0.7302237749099731,0.014840532094240189,1.4770541191101074
0,48,0,50.32,73.04,0.0,5.171128273010254,6.138035774230957,-0.006747966632246971,-0.49883997440338135
0,48,48,50.32,76.88,0.0,2.1102235317230225,7.3730621337890625,-0.030217979103326797,3.1521341800689697
0,48,96,50.32,80.72,0.0,-1.4449846744537354,11.578400611877441,-0.005162653047591448,9.157679557800293
0,48,144,50.32,84.56,0.0,0.7195335030555725,1.8097158670425415,0.00649194186553359,0.9158614873886108
0,48,192,50.32,88.4,0.0,-1.8153948783874512,3.048713207244873,-0.02293962612748146,3.5419182777404785
0,48,240,50.32,92.24,0.0,-2.9413063526153564,-0.7291512489318848,0.013314787298440933,0.6923704147338867
0,48,288,50.32,96.08,0.0,-0.8394508361816406,0.09376543760299683,-0.013851958326995373,0.36247193813323975
0,48,336,50.32,99.92,0.0,1.8740582466125488,-0.3033374547958374,0.0032351897098124027,-0.6266655921936035
0,48,384,50.32,103.76,0.0,1.2794944047927856,1.9680817127227783,-0.009647974744439125,1.9545949697494507
0,48,432,50.32,107.6,0.0,0.7609071731567383,3.073420286178589,-0.008736402727663517,3.1542065143585205
