z,y,x,lat,lon,alt_m,u_cma,v_cma,w_cma,vr_stage2_roi
0,0,0,54.160000000000004,73.04,0.0,4.62719202041626,-2.0755765438079834,-0.0038919439539313316,-4.796501159667969
0,0,48,54.160000000000004,76.88,0.0,2.8268015384674072,-1.5069568157196045,-0.00258808396756649,-3.0317862033843994
0,0,96,54.160000000000004,80.72,0.0,1.60336434841156,-2.2137928009033203,0.002813357161357999,-2.7300305366516113
0,0,144,54.160000000000004,84.56,0.0,2.3909945487976074,3.4112071990966797,0.008721855469048023,1.5010206699371338
0,0,192,54.160000000000004,88.4,0.0,1.7962027788162231,0.9158296585083008,0.013414905406534672,-0.044911812990903854
0,0,240,54.160000000000004,92.24,0.0,3.1202914714813232,2.2171316146850586,-0.011945821344852448,0.8812288045883179
0,0,288,54.160000000000004,96.08,0.0,0.2408643364906311,3.0235118865966797,0.006319856736809015,2.853076457977295
0,0,336,54.160000000000004,99.92,0.0,-0.20418772101402283,-0.29647502303123474,0.00205752020701766,-0.265115886926651
0,0,384,54.160000000000004,103.76,0.0,-0.7745002508163452,-1.6379462480545044,-0.0019094438757747412,-1.631476640701294
0,0,432,54.160000000000004,107.6,0.0,-2.67215633392334,0.2867280840873718,0.011661061085760593,-0.044849567115306854
0,0,480,54.160000000000004,111.44,0.0,0.8768017888069153,-2.132542610168457,-0.001492570387199521,-1.8475513458251953
0,0,528,54.160000000000004,115.28,0.0,2.0032341480255127,-0.26984739303588867,-0.0030416930094361305,0.47510939836502075
0,0,576,54.160000000000004,119.12,0.0,0.37081223726272583,-0.25415730476379395,-0.007112750317901373,-0.05381931737065315
0,0,624,54.160000000000004,122.96000000000001,0.0,0.7301872372627258,1.5850353240966797,-0.0010648906463757157,1.7261574268341064
0,0,672,54.160000000000004,126.80000000000001,0.0,0.625239372253418,-0.8604723811149597,-0.00560025917366147,-0.2896979749202728
0,0,720,54.160000000000004,130.64,0.0,-0.6752814650535583,-0.06769898533821106,0.0060707018710672855,-0.5068280100822449
0,0,768,54.160000000000004,134.48,0.0,1.0839632749557495,1.4267020225524902,0.005550144240260124,1.768641710281372
0,48,0,50.32,73.04,0.0,6.436306953430176,-0.12062866985797882,0.002137081930413842,-5.242376327514648
0,48,48,50.32,76.88,0.0,5.503364086151123,3.823967456817627,-0.022150585427880287,-1.730688214302063
0,48,96,50.32,80.72,0.0,1.1175570487976074,6.411858081817627,-0.005751628428697586,3.705638885498047
0,48,144,50.32,84.56,0.0,1.757921576499939,2.067847728729248,0.013999693095684052,0.4416894018650055
0,48,192,50.32,88.4,0.0,-1.27554190158844,4.400204658508301,-0.014836359769105911,4.356174468994141
0,48,240,50.32,92.24,0.0,-2.1471564769744873,-3.0293526649475098,-0.012289594858884811,-1.7168872356414795
0,48,288,50.32,96.08,0.0,-1.5453335046768188,-1.6078031063079834,-0.018622417002916336,-1.0157527923583984
0,48,336,50.32,99.92,0.0,3.2428174018859863,-1.427985429763794,-0.002976995427161455,-1.9735227823257446
0,48,384,50.32,103.76,0.0,-0.2053595930337906,2.263160228729248,-0.009273096919059753,2.265183925628662
0,48,432,50.32,107.6,0.0,-0.3984585404396057,3.3753998279571533,-0.00591473700478673,3.2728805541992188
0,48,480,50.32,111.44,0.0,2.163780927658081,2.341090202331543,-0.009889301843941212,2.894249200820923
0,48,528,50.32,115.28,0.0,3.057400703430176,-0.4432198107242584,-0.0042305295355618,0.950813353061676
0,48,576,50.32,119.12,0.0,1.2723747491836548,-1.6930243968963623,-0.0022268618922680616,-0.7138063311576843
0,48,624,50.32,122.96000000000001,0.0,1.27523934841156,0.29681921005249023,0.002003148663789034,1.0410245656967163
0,48,672,50.32,126.80000000000001,0.0,2.922374725341797,-0.7443265914916992,-0.003244553692638874,1.5315542221069336
