kernel,confidence_mode,physics_constraint_mode,localization_policy,localization_candidate_grid,localization_radius_xy,localization_sigma_xy,localization_radius_z,localization_sigma_z,current_weight_boost,context_weight_scale,context_time_conf_power,role_conflict_mode,conflict_speed_threshold_mps,conflict_context_factor,vertical_risk_mode,vertical_localization_policy,vertical_gradient_preserve_weight,vertical_context_mismatch_damping,frames,official_holdout_frames,no_holdout_frames,holdout_points,mean_rmse_vector,mean_mae_vector,mean_bias_u,mean_bias_v,zero_filled_all_frame_mean_rmse_vector,zero_filled_all_frame_mean_mae_vector,mean_effective_reconstructed_voxels,mean_low_conf_fill_voxels,mean_obs_error_sigma_vector_mps,mean_obs_error_weight_factor,mean_adaptive_selected_radius_xy,mean_adaptive_score,mean_role_conflict_voxels,mean_role_conflict_threshold_mps,mean_role_conflict_context_factor,mean_vertical_context_mismatch_candidate_voxels,mean_vertical_oversmoothing_candidate_voxels,mean_strong_vertical_isolated_voxels,mean_vertical_localization_sigma_factor,mean_guard_active_fraction,mean_guarded_fallback_fraction,mean_dynamic_vertical_active_fraction,sum_guard_12km_plus_fallback_count,sum_guard_role_gap_fallback_count,sum_guard_remote_support_fallback_count,sum_guard_light_moderate_protected_count,mean_vertical_risk_candidate_voxels_last,mean_vertical_oversmooth_preserve_voxels_last,mean_vertical_context_mismatch_damped_voxels_last,all_strict_holdout_no_leakage,any_motion_used_as_wind
gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",10,5.0,2,1.0,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,preserve_strong_layers,fixed,0.12,0.35,94,94,0,192,7.296702387510667,6.319984318978573,-0.7968886253339745,1.1479832952920705,7.296702387510667,6.319984318978573,234246.20212765958,95624.12765957447,8.0,0.9999198089023769,10.0,10.0,1722.9574468085107,12.75650468785712,0.2333621268576764,1721.872340425532,3191.031914893617,23.95744680851064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4963.085106382979,3194.0106382978724,1769.0744680851064,True,False
gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,preserve_strong_layers,fixed,0.12,0.35,106,106,0,338,9.046904352778906,7.757577903120044,-2.624524570004254,0.17506195891792833,9.046904352778906,7.757577903120044,201378.64150943398,87832.68867924529,8.0,0.9998826976321311,8.0,7.943396226415095,2117.3396226415093,12.263250063050467,0.21076091259436788,1516.7735849056603,2869.5,10.669811320754716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4425.745283018868,2872.6509433962265,1553.0943396226414,True,False
