time_str,kernel,confidence_mode,physics_constraint_mode,localization_policy,localization_radius_xy,localization_sigma_xy,localization_radius_z,localization_sigma_z,strict_holdout_no_leakage,motion_used_as_wind,z,y,x,lat,lon,alt_m,gt_u,gt_v,gt_speed,pred_u,pred_v,pred_speed,u_error,v_error,abs_u_error,abs_v_error,vector_error,error_to_truth_speed_ratio,recon_confidence,obs_count,obs_conf,nearest_role_gap_mps,nearest_current_count,nearest_context_count,recon_vertical_jump_mps,vertical_speed_gap_mps,vertical_neighbor_max_speed_mps,point_neighbor_count,point_neighbor_mean_vector_error,point_neighbor_min_vector_error,point_neighbor_weighted_vector_error,point_neighbor_std_vector_error,representativeness_gap_point_minus_min_mps,representation_equivalent_error_r1_min_mps,representation_equivalent_error_r1_weighted_mps,representation_equivalent_gain_r1_min_mps,representation_equivalent_gain_r1_weighted_mps,representation_equivalent_local_sigma_r1_mps,role_overlap_at_point,role_conflict_at_point,role_conflict_component_gap_at_point_mps,role_conflict_threshold_at_point_mps,role_conflict_context_factor_at_point,role_conflict_current_density_at_point,role_conflict_context_time_conf_at_point,role_conflict_context_weight_at_point,role_conflict_context_removed_weight_at_point,qc_review_flag,qc_review_reasons,nearest_train_distance_vox,nearest_train_source_role,nearest_train_u,nearest_train_v,nearest_train_base_weight,nearest_observations_json,tail_risk_score_at_point,reliability_confidence_at_point,no_claim_at_point,reliability_distance_factor_at_point,reliability_role_consistency_factor_at_point,reliability_support_count_factor_at_point,reliability_vertical_consistency_factor_at_point,frame_holdout_wind_records,frame_rmse_vector,frame_mae_vector,adaptive_reasons,adaptive_current_support,adaptive_context_support
20260124121200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,13,323,507,28.320000000000004,113.6,6500.0,19.40478758440689,21.551199938844434,29.000000000000004,21.00009536743164,42.521148681640625,47.424172008032066,1.5953077830247508,20.96994874279619,1.5953077830247508,20.96994874279619,21.030543435633774,0.7251911529528887,0.021189654245972633,1,1.0,0.0,0,3,5.414140701293945,0.8177757263183594,48.611663818359375,27,20.229266413935907,16.605358123779297,18.356899139597278,2.5355409732498457,4.425185311854477,16.605358123779297,18.356899139597278,4.425185311854477,2.673644296036496,2.5355409732498457,False,False,0.0,11.408445358276367,0.09807956218719482,0.0,0.29615911841392517,0.003492228453978896,0.0,True,context_only_nearest_support,3.4641016151377544,context_wind,25.27623097238603,33.5426914219863,0.005990187393797712,"[{""distance_vox"": 3.4641016151377544, ""source_role"": ""context_wind"", ""z"": 15, ""y"": 325, ""x"": 505, ""u"": 25.27623097238603, ""v"": 33.5426914219863, ""base_weight"": 0.005990187393797712, ""time_conf"": 0.2961591252948842, ""qc_flags"": ""ok""}, {""distance_vox"": 3.7416573867739413, ""source_role"": ""context_wind"", ""z"": 16, ""y"": 325, ""x"": 506, ""u"": 40.164799750447486, ""v"": 12.279611598354958, ""base_weight"": 0.005990187393797712, ""time_conf"": 0.2961591252948842, ""qc_flags"": ""ok""}, {""distance_vox"": 3.7416573867739413, ""source_role"": ""context_wind"", ""z"": 14, ""y"": 326, ""x"": 505, ""u"": 19.93009551071421, ""v"": 44.76372742448744, ""base_weight"": 0.005990187393797712, ""time_conf"": 0.2961591252948842, ""qc_flags"": ""ok""}]",0.3788103457540274,0.010594827122986317,True,0.5,1.0,1.0,1.0,2,16.196957810013163,15.0539699728404,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,7,435
20260124121200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,29,328,485,27.920000000000005,111.84,14500.0,28.522794363147646,26.597936042437446,39.0,22.625282287597656,33.49855041503906,40.42346198066655,-5.89751207554999,6.900614372601616,5.89751207554999,6.900614372601616,9.077396510047027,0.23275375666787249,0.6717920303344727,1,1.0,0.0,0,3,1.8632073402404785,0.22684478759765625,42.080116271972656,27,9.173102449487757,7.468298435211182,9.422088824927096,1.028543585980488,1.6090980748358454,7.468298435211182,9.422088824927096,1.6090980748358454,0.0,1.028543585980488,False,False,0.0,16.355562210083008,0.5052319765090942,0.0,0.8876068592071533,0.1107168197631836,0.0,True,context_only_nearest_support,5.916079783099616,context_wind,23.176713370952438,38.572528531595054,0.12075461104417032,"[{""distance_vox"": 5.916079783099616, ""source_role"": ""context_wind"", ""z"": 28, ""y"": 323, ""x"": 488, ""u"": 23.176713370952438, ""v"": 38.572528531595054, ""base_weight"": 0.12075461104417032, ""time_conf"": 0.9402466140861618, ""qc_flags"": ""ok""}, {""distance_vox"": 6.324555320336759, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 322, ""x"": 487, ""u"": 22.367716138829866, ""v"": 33.161502902201676, ""base_weight"": 0.12075461104417032, ""time_conf"": 0.9402466140861618, ""qc_flags"": ""ok""}, {""distance_vox"": 7.810249675906654, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 333, ""x"": 491, ""u"": 16.216594200651652, ""v"": 24.042089604096212, ""base_weight"": 0.02884759043113594, ""time_conf"": 0.5421134351507092, ""qc_flags"": ""ok""}]",0.27,0.1007688045501709,False,0.15,1.0,1.0,1.0,2,16.196957810013163,15.0539699728404,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,7,435
20260129073000,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,4,245,508,34.56,113.68,2000.0,-15.32088886237956,-12.855752193730787,20.0,-15.648000717163086,-11.446002960205078,19.387390495096547,-0.3271118547835261,1.4097492335257087,0.3271118547835261,1.4097492335257087,1.44720249687673,0.0723601248438365,1.0,1,1.0,7.123072928350913,2,1,2.7353310585021973,0.13459014892578125,19.61117172241211,27,2.245815219702544,1.1270389556884766,2.245815219702544,1.3176963834623372,0.3201635411882535,1.1270389556884766,2.245815219702544,0.3201635411882535,0.0,1.3176963834623372,True,False,5.701443195343018,7.994429111480713,0.05000000074505806,0.9602164626121521,0.546122133731842,0.26865333318710327,0.0,False,,0.0,context_wind,-14.10000195088932,-8.307329816900825,0.013717161474893299,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 245, ""x"": 508, ""u"": -14.10000195088932, ""v"": -8.307329816900825, ""base_weight"": 0.013717161474893299, ""time_conf"": 0.37749645868472276, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 4, ""y"": 245, ""x"": 509, ""u"": -12.855752193730785, ""v"": -15.32088886237956, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 5, ""y"": 245, ""x"": 508, ""u"": -16.669609084227513, ""v"": -10.939285028180294, ""base_weight"": 0.973165761934816, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,2,9.669699581255486,7.522714883988568,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,12,742
20260129073000,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,23,382,446,23.600000000000005,108.72,11500.0,47.73705097767712,5.017366236847361,48.0,39.868896484375,16.10807991027832,42.999990061367704,-7.8681544933021215,11.090713673430958,7.8681544933021215,11.090713673430958,13.598227271100406,0.28329640148125845,0.44320541620254517,1,1.0,0.0,0,3,0.0013579585356637836,0.001354217529296875,42.998634338378906,27,13.598438404224536,13.598226547241211,13.598400577006002,0.00014989217978693257,7.238591948066642e-07,13.598226547241211,13.598400577006002,7.238591948066642e-07,0.0,0.00014989217978693257,False,False,0.0,15.120790481567383,0.48926278948783875,0.0,0.9585255980491638,0.1219756156206131,0.0,True,context_only_nearest_support,1.4142135623730951,context_wind,39.86890574637185,16.10808351688423,0.12695352926682754,"[{""distance_vox"": 1.4142135623730951, ""source_role"": ""context_wind"", ""z"": 23, ""y"": 383, ""x"": 445, ""u"": 39.86890574637185, ""v"": 16.10808351688423, ""base_weight"": 0.12695352926682754, ""time_conf"": 0.958525613502759, ""qc_flags"": ""ok""}, {""distance_vox"": 28.30194339616981, ""source_role"": ""context_wind"", ""z"": 19, ""y"": 359, ""x"": 462, ""u"": 26.79236562262855, ""v"": 20.932490161072373, ""base_weight"": 0.0060504631450877, ""time_conf"": 0.29730177875068026, ""qc_flags"": ""ok""}, {""distance_vox"": 30.331501776206203, ""source_role"": ""context_wind"", ""z"": 17, ""y"": 360, ""x"": 466, ""u"": 29.124611797498105, ""v"": 21.160269082529034, ""base_weight"": 0.011599047796242044, ""time_conf"": 0.3818587827286608, ""qc_flags"": ""ok""}]",0.1,0.44320541620254517,False,1.0,1.0,1.0,1.0,2,9.669699581255486,7.522714883988568,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,12,742
20260201110600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,7,326,503,28.080000000000002,113.28,3500.0,-5.447885996874561,-10.692078290260415,12.0,-4.16541862487793,-7.394388198852539,8.486912816555243,1.2824673719966313,3.297690091407876,1.2824673719966313,3.297690091407876,3.538288074649326,0.2948573395541105,1.0,1,1.0,0.0,0,3,1.042816400527954,0.14258670806884766,8.779548645019531,27,3.754789838084468,3.423210382461548,3.7745316373447912,0.25390240033289696,0.11507769218777808,3.423210382461548,3.7745316373447912,0.11507769218777808,0.0,0.25390240033289696,False,False,0.0,12.018172264099121,0.3126019239425659,0.0,0.7252038717269897,0.2715127170085907,0.0,True,context_only_nearest_support,3.605551275463989,context_wind,0.4745559021538128,-7.962278288039546,0.0858910703971128,"[{""distance_vox"": 3.605551275463989, ""source_role"": ""context_wind"", ""z"": 7, ""y"": 323, ""x"": 501, ""u"": 0.4745559021538128, ""v"": -7.962278288039546, ""base_weight"": 0.0858910703971128, ""time_conf"": 0.6450689112112552, ""qc_flags"": ""ok""}, {""distance_vox"": 3.7416573867739413, ""source_role"": ""context_wind"", ""z"": 6, ""y"": 323, ""x"": 501, ""u"": -1.2155372436685123, ""v"": -6.893654271085456, ""base_weight"": 0.06491045275475438, ""time_conf"": 0.7405487761432821, ""qc_flags"": ""ok""}, {""distance_vox"": 4.123105625617661, ""source_role"": ""context_wind"", ""z"": 6, ""y"": 322, ""x"": 503, ""u"": -6.537488975641994, ""v"": -7.177191357127253, ""base_weight"": 0.14399377640327882, ""time_conf"": 0.7633692800360008, ""qc_flags"": ""ok""}]",0.2,0.5,False,0.5,1.0,1.0,1.0,3,4.037262795444012,3.6487314782574223,default_timepower15_8_4_conservative_v2,20,1079
20260201110600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,18,246,509,34.480000000000004,113.76,9000.0,16.249005625105305,-21.563158771276907,27.0,14.933000564575195,-15.895699501037598,21.809808997074917,-1.3160050605301095,5.667459270239309,1.3160050605301095,5.667459270239309,5.818244056342286,0.21549052060526985,1.0,1,1.0,41.215635982642894,1,2,0.8878393173217773,0.5710163116455078,21.341951370239258,27,6.239440352828415,5.655890941619873,6.239440352828415,0.37262715748639974,0.16235311472241332,5.655890941619873,6.239440352828415,0.16235311472241332,0.0,0.37262715748639974,True,False,5.824812889099121,8.948291778564453,0.05000000074505806,1.0,0.7116037607192993,1.2294135093688965,0.0,True,nearest_current_context_role_gap_ge_30mps,1.0,current_wind_train,14.775875407815796,-18.91225808656133,0.5669373788524215,"[{""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 18, ""y"": 246, ""x"": 508, ""u"": 14.775875407815796, ""v"": -18.91225808656133, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 18, ""y"": 247, ""x"": 509, ""u"": 55.53909369275841, ""v"": -12.822210097600301, ""base_weight"": 0.003894640123590608, ""time_conf"": 0.25096456039861875, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""context_wind"", ""z"": 18, ""y"": 247, ""x"": 508, ""u"": 12.34349029814194, ""v"": -16.989356881873896, ""base_weight"": 0.08171908448288782, ""time_conf"": 0.8091305751159615, ""qc_flags"": ""ok""}]",0.17,0.15,False,1.0,0.15,1.0,1.0,3,4.037262795444012,3.6487314782574223,default_timepower15_8_4_conservative_v2,20,1079
20260201110600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,29,392,514,22.800000000000004,114.16,14500.0,41.84490382318207,-6.374312347872208,42.327624949666074,40.4390869140625,-7.11640739440918,41.06047983945515,-1.4058169091195722,-0.7420950465369716,1.4058169091195722,0.7420950465369716,1.5896623037806543,0.03755614225156744,1.0,3,1.0,3.315969041689395,1,2,0.19192449748516083,0.06128692626953125,41.120361328125,27,1.6244768963919745,1.4782180786132812,1.6244768963919745,0.0913400185380958,0.11144422516737307,1.4782180786132812,1.6244768963919745,0.11144422516737307,0.0,0.0913400185380958,True,False,3.597801685333252,11.694398880004883,0.05000000074505806,1.0,0.6270902156829834,0.38249143958091736,0.0,False,,0.0,context_wind,38.147756428618415,-8.108555941892618,0.05051934314178986,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 392, ""x"": 514, ""u"": 38.147756428618415, ""v"": -8.108555941892618, ""base_weight"": 0.05051934314178986, ""time_conf"": 0.5463047142754377, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 29, ""y"": 391, ""x"": 514, ""u"": 41.36192562651274, ""v"": -7.293223462011059, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 391, ""x"": 514, ""u"": 38.147756428618415, ""v"": -8.108555941892618, ""base_weight"": 0.02943106416445303, ""time_conf"": 0.5463047142754377, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,3,4.037262795444012,3.6487314782574223,default_timepower15_8_4_conservative_v2,20,1079
20260203231200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,14,243,509,34.72,113.76,7000.0,9.030558815966966,9.351417404402465,13.000000000000002,8.78164291381836,5.704087257385254,10.471574079653976,-0.2489159021486067,-3.647330147017211,0.2489159021486067,3.647330147017211,3.65581404446165,0.28121646495858843,1.0,1,1.0,23.906370255834027,1,2,3.1576907634735107,0.021636009216308594,12.927528381347656,27,4.5568508130532726,2.9585788249969482,4.5568508130532726,1.563204241609519,0.6972352194647016,2.9585788249969482,4.5568508130532726,0.6972352194647016,0.0,1.563204241609519,True,False,9.214516639709473,9.514119148254395,0.05266984552145004,0.6233211755752563,0.6416645050048828,0.5212106108665466,0.0,False,,0.0,context_wind,18.973961160336902,-0.994383168615935,0.005755029639125293,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 14, ""y"": 243, ""x"": 509, ""u"": 18.973961160336902, ""v"": -0.994383168615935, ""base_weight"": 0.005755029639125293, ""time_conf"": 0.29163225989402913, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 14, ""y"": 243, ""x"": 508, ""u"": -12.789636406996411, ""v"": 5.694313003061205, ""base_weight"": 0.08171908448288782, ""time_conf"": 0.8091305751159615, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 15, ""y"": 242, ""x"": 509, ""u"": 10.606601717798211, ""v"": 10.606601717798215, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.1,0.5,False,1.0,0.5,1.0,1.0,2,3.7868348255101196,3.784642803047276,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,10,492
20260203231200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,29,238,510,35.120000000000005,113.84,14500.0,29.544232590366242,-5.209445330007899,29.999999999999996,25.66243553161621,-5.7063469886779785,26.289218196240686,-3.8817970587500312,-0.4969016586700796,3.8817970587500312,0.4969016586700796,3.9134715616329023,0.13044905205443008,1.0,1,1.0,0.0,3,0,5.9717793464660645,2.0315208435058594,27.83295440673828,27,5.545370410989832,3.2140486240386963,4.849253613545004,2.7896451773755992,0.699422937594206,3.2140486240386963,4.849253613545004,0.699422937594206,0.0,2.7896451773755992,True,True,22.736221313476562,13.298736572265625,0.19585824012756348,0.6233211755752563,0.7051841616630554,0.17755694687366486,0.14278095960617065,True,role_conflict_triggered_at_holdout_voxel,1.4142135623730951,current_wind_train,27.282361813986586,-6.298629521628218,0.5669373788524215,"[{""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 28, ""y"": 239, ""x"": 510, ""u"": 27.282361813986586, ""v"": -6.298629521628218, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 2.23606797749979, ""source_role"": ""current_wind_train"", ""z"": 27, ""y"": 239, ""x"": 510, ""u"": 26.915327486272925, ""v"": -7.717845962875983, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 3.1622776601683795, ""source_role"": ""current_wind_train"", ""z"": 26, ""y"": 239, ""x"": 510, ""u"": 26.694640750120776, ""v"": -11.33120272618893, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,2,3.7868348255101196,3.784642803047276,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,10,492
20260208014200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,4,294,514,30.64,114.16,2000.0,-4.667902132486009,1.7918397477265013,5.0,-4.335494518280029,-0.8104719519615173,4.410598315756321,0.3324076142059793,-2.602311699688019,0.3324076142059793,2.602311699688019,2.6234559276487297,0.5246911855297459,1.0,1,1.0,0.0,0,3,2.0240602493286133,0.4502696990966797,6.02946662902832,27,3.021751227202239,2.0931897163391113,3.021751227202239,0.9559924084873176,0.5302662113096184,2.0931897163391113,3.021751227202239,0.5302662113096184,0.0,0.9559924084873176,False,False,0.0,12.446475982666016,0.3774964511394501,0.0,0.8549929261207581,0.8068908452987671,0.0,True,context_only_nearest_support,0.0,context_wind,-3.1603810935059844,0.4358025396577674,0.2547275479183913,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 294, ""x"": 514, ""u"": -3.1603810935059844, ""v"": 0.4358025396577674, ""base_weight"": 0.2547275479183913, ""time_conf"": 0.8827850449808045, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 294, ""x"": 513, ""u"": -3.477736178028093, ""v"": 0.23539339812870635, ""base_weight"": 0.24324399618846318, ""time_conf"": 0.8640554205626747, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""context_wind"", ""z"": 5, ""y"": 295, ""x"": 514, ""u"": -10.324375854318829, ""v"": -14.744736797201853, ""base_weight"": 0.03489197505912226, ""time_conf"": 0.5832645197880583, ""qc_flags"": ""ok""}]",0.1,1.0,False,1.0,1.0,1.0,1.0,1,2.6234559276487297,2.6234559276487297,default_timepower15_8_4_conservative_v2,2,1217
