time_str,point_index,z,y,x,alt_m,truth_speed_bin,gt_speed_mps,pred_speed_mps,speed_delta_pred_minus_gt_mps,gt_direction_atan2_v_u_deg,pred_direction_atan2_v_u_deg,direction_error_deg,vector_error_mps,relative_error_ratio,floor10_relative_error,recon_confidence,nearest_train_source_role,nearest_current_count,nearest_context_count,nearest_role_gap_mps,strict_holdout_no_leakage,motion_used_as_wind
20260206074200,0,5,403,503,2500.0,0-5mps_calm,4.0,0.5618358025315238,-3.4381641974684762,36.0,0.0567005535805265,nan,3.5604450686843303,0.8901112671710826,0.35604450686843303,0.031397394835948944,current_wind_train,3,0,0.0,,
20260206074200,1,26,295,450,13000.0,30-60mps_strong,37.00000000000001,34.85138098616329,-2.148619013836715,335.0,337.0560745320242,2.0560745320241836,2.505382983084328,0.06771305359687373,0.06771305359687373,1.0,context_wind,1,2,173.348045183151,,
20260125124200,0,9,248,515,4500.0,5-15mps_light,7.985078387374935,5.226900352844893,-2.758178034530042,150.5,154.1869927897062,3.68699278970621,2.78932211570749,0.3493168107300784,0.278932211570749,1.0,context_wind,1,2,5.416837758638761,,
20260125124200,1,16,251,518,8000.0,0-5mps_calm,2.0,2.1664463225526664,0.16644632255266645,104.0,22.170847197481578,nan,2.7316409523075555,1.3658204761537778,0.2731640952307556,1.0,current_wind_train,3,0,0.0,,
20260125124200,2,29,307,507,14500.0,30-60mps_strong,57.0,0.6765206915969523,-56.323479308403044,6.0,8.261623241896359,nan,56.32401261048032,0.9881405721136898,0.9881405721136898,0.022283433005213737,current_wind_train,2,1,13.578425208242146,,
20260205190000,0,24,360,518,12000.0,60mps_plus_extreme,86.0,0.0,-86.0,19.0,0.0,nan,86.0,1.0,1.0,0.0,context_wind,0,3,0.0,,
20260210011200,0,10,295,510,5000.0,5-15mps_light,13.000000000000002,11.894190755799297,-1.1058092442007048,271.0,319.95321796269855,48.953217962698545,10.363189834992053,0.7971684488455424,0.7971684488455424,0.053932301700115204,current_wind_train,1,2,5.617447799477832,,
20260210011200,1,16,295,508,8000.0,15-30mps_moderate,24.0,19.792564862049666,-4.207435137950334,355.0,351.50535038755874,3.4946496124412647,4.412382628152669,0.18384927617302785,0.18384927617302785,0.35253238677978516,context_wind,1,2,29.822244552881987,,
20260210011200,2,21,368,466,10500.0,15-30mps_moderate,25.0,30.590830028367908,5.5908300283679075,358.0,24.64834822039427,26.64834822039427,13.918738060204657,0.5567495224081863,0.5567495224081863,0.019880395382642746,context_wind,0,3,0.0,,
20260210011200,3,26,253,503,13000.0,15-30mps_moderate,26.47478685523649,28.962774456196883,2.487987600960391,337.5471997583459,332.08102929517383,5.466170463172091,3.6281949750293947,0.13704340642545224,0.13704340642545224,1.0,current_wind_train,3,0,0.0,,
20260210011200,4,29,368,469,14500.0,30-60mps_strong,31.0,0.023024417950268855,-30.976975582049732,0.0,357.6547006461902,nan,30.97699488269694,0.9992578994418367,0.9992578994418367,4.443910802365281e-05,context_wind,0,3,0.0,,
20260202013600,0,7,293,517,3500.0,5-15mps_light,9.0,12.88178147499127,3.8817814749912696,322.0,252.79694252151847,69.20305747848153,12.830139353999337,1.4255710393332597,1.2830139353999337,0.7372567057609558,current_wind_train,1,2,22.665124089012707,,
20260202013600,1,18,245,507,9000.0,15-30mps_moderate,20.0,23.021213379557214,3.0212133795572136,305.0,313.64360643195334,8.643606431953344,4.425659690693627,0.22128298453468137,0.22128298453468137,1.0,context_wind,0,3,0.0,,
20260202013600,2,29,281,519,14500.0,60mps_plus_extreme,60.0,41.783137045800544,-18.216862954199456,331.0,330.0237643535167,0.9762356464833033,18.236827725567203,0.3039471287594534,0.3039471287594534,0.3940744698047638,context_wind,1,2,261.6059690781563,,
20260223133000,0,22,321,506,11000.0,30-60mps_strong,38.0,38.44201287105316,0.44201287105315856,34.0,33.09373047933428,0.9062695206657168,0.7488952142306601,0.019707768795543687,0.019707768795543687,1.0,current_wind_train,1,2,13.000595050956818,,
20260223133000,1,27,345,498,13500.0,60mps_plus_extreme,182.0,153.15692841554971,-28.843071584450286,324.0,342.29356304444,18.29356304444002,60.410609422091134,0.3319264253961051,0.3319264253961051,0.370887815952301,current_wind_train,1,2,131.66102047050882,,
20260223133000,2,29,345,498,14500.0,60mps_plus_extreme,198.0,53.47672741426554,-144.52327258573445,313.0,15.993197280290303,62.9931972802903,180.13178895959052,0.9097565098969218,0.9097565098969218,0.14510652422904968,current_wind_train,1,2,131.66102047050882,,
