time_str,kernel,confidence_mode,physics_constraint_mode,localization_policy,localization_radius_xy,localization_sigma_xy,localization_radius_z,localization_sigma_z,strict_holdout_no_leakage,motion_used_as_wind,z,y,x,lat,lon,alt_m,gt_u,gt_v,gt_speed,pred_u,pred_v,pred_speed,u_error,v_error,abs_u_error,abs_v_error,vector_error,error_to_truth_speed_ratio,recon_confidence,obs_count,obs_conf,nearest_role_gap_mps,nearest_current_count,nearest_context_count,recon_vertical_jump_mps,vertical_speed_gap_mps,vertical_neighbor_max_speed_mps,point_neighbor_count,point_neighbor_mean_vector_error,point_neighbor_min_vector_error,point_neighbor_weighted_vector_error,point_neighbor_std_vector_error,representativeness_gap_point_minus_min_mps,role_overlap_at_point,role_conflict_at_point,role_conflict_component_gap_at_point_mps,role_conflict_threshold_at_point_mps,role_conflict_context_factor_at_point,role_conflict_current_density_at_point,role_conflict_context_time_conf_at_point,role_conflict_context_weight_at_point,role_conflict_context_removed_weight_at_point,qc_review_flag,qc_review_reasons,nearest_train_distance_vox,nearest_train_source_role,nearest_train_u,nearest_train_v,nearest_train_base_weight,nearest_observations_json,frame_holdout_wind_records,frame_rmse_vector,frame_mae_vector,adaptive_reasons,adaptive_current_support,adaptive_context_support
20260127152400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,5,403,503,21.92,113.28,2500.0,-4.914912265733951,-3.441458618106277,6.0,5.506777233676985e-05,-0.0001801186299417168,0.00018834856092419562,4.914967333506287,3.4412784994763355,4.914967333506287,3.4412784994763355,5.9999417997503945,0.999990299958399,5.519439946510829e-05,1,1.0,0.0,3,0,0.005214211530983448,0.002512931590899825,0.005402560345828533,18,5.999137216144138,5.998330116271973,5.998408775740885,0.0008046633934502951,0.001611683478421888,False,False,0.0,13.75,0.44999998807907104,0.0,1.0,0.0,0.0,False,,6.6332495807108,current_wind_train,2.6313453425046345,-8.606742803667318,0.5669373788524215,"[{""distance_vox"": 6.6332495807108, ""source_role"": ""current_wind_train"", ""z"": 11, ""y"": 401, ""x"": 501, ""u"": 2.6313453425046345, ""v"": -8.606742803667318, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 8.774964387392123, ""source_role"": ""current_wind_train"", ""z"": 13, ""y"": 400, ""x"": 501, ""u"": 2.247639560495474, ""v"": -5.563103127400724, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 10.954451150103322, ""source_role"": ""current_wind_train"", ""z"": 15, ""y"": 399, ""x"": 501, ""u"": 3.0000000000000027, ""v"": -5.19615242270663, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",2,6.2302509464603695,6.226143249244829,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,11,765
20260201042400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,5,327,503,28.000000000000004,113.28,2500.0,0.8290375725550418,0.5591929034707466,1.0,1.4494186639785767,-0.8181431293487549,1.6643835626411405,0.6203810914235348,-1.3773360328195015,0.6203810914235348,1.3773360328195015,1.5106049271397268,1.5106049271397268,1.0,1,1.0,0.0,0,3,1.0678629875183105,0.23007667064666748,2.2211718559265137,27,1.538607899789457,0.683925211429596,1.5615115109784166,0.6731683784952531,0.8266797157101309,True,False,5.239586353302002,10.060456275939941,0.10517693310976028,0.46538427472114563,0.6361228227615356,0.2633463442325592,0.0,True,context_only_nearest_support,0.0,context_wind,-2.03168144123793,6.3491434977977725,0.08307431328392004,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 5, ""y"": 327, ""x"": 503, ""u"": -2.03168144123793, ""v"": 6.3491434977977725, ""base_weight"": 0.08307431328392004, ""time_conf"": 0.6778421872685008, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 5, ""y"": 328, ""x"": 503, ""u"": -2.696382138897501, ""v"": 1.3151134403672327, ""base_weight"": 0.032206228136561606, ""time_conf"": 0.5655701084185464, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 327, ""x"": 503, ""u"": 0.6340512980720017, ""v"": -1.7375230376035373, ""base_weight"": 0.08697430113449603, ""time_conf"": 0.638971799563896, ""qc_flags"": ""ok""}]",4,2.7619904953417005,2.228676129117966,default_timepower15_8_4_conservative_v2,25,1202
20260201042400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,17,323,501,28.320000000000004,113.12,8500.0,22.996496988597,0.40140534805752043,23.0,19.406761169433594,-3.010098695755005,19.638815474605934,-3.589735819163405,-3.4115040438125255,3.589735819163405,3.4115040438125255,4.952228093730535,0.21531426494480588,1.0,1,1.0,4.817526266165121,1,2,5.43931770324707,3.338560104370117,17.235809326171875,27,7.34525438591286,4.471604824066162,7.34525438591286,2.411354622997218,0.4806232696643731,True,True,9.805490493774414,8.934048652648926,0.05000000074505806,1.0,0.7906210422515869,1.1974668502807617,1.1375935077667236,True,role_conflict_triggered_at_holdout_voxel,0.0,context_wind,18.711347307231954,3.2993153756716764,0.019522224941848732,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 17, ""y"": 323, ""x"": 501, ""u"": 18.711347307231954, ""v"": 3.2993153756716764, ""base_weight"": 0.019522224941848732, ""time_conf"": 0.4665164957684037, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 18, ""y"": 323, ""x"": 501, ""u"": 19.35415060517989, ""v"": -1.4751336234629997, ""base_weight"": 0.973165761934816, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 16, ""y"": 323, ""x"": 501, ""u"": 19.98519431238255, ""v"": -0.6857987478307812, ""base_weight"": 0.17605777649967447, ""time_conf"": 0.894873182440491, ""qc_flags"": ""ok""}]",4,2.7619904953417005,2.228676129117966,default_timepower15_8_4_conservative_v2,25,1202
20260201042400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,23,327,493,28.000000000000004,112.47999999999999,11500.0,29.981724810572874,-1.0469849010750385,30.000000000000004,28.164390563964844,-1.1093676090240479,28.18623054492217,-1.8173342466080307,-0.06238270794900935,1.8173342466080307,0.06238270794900935,1.8184046211295852,0.060613487370986166,1.0,1,1.0,8.332248227289611,1,2,1.8258857727050781,0.26670074462890625,29.376068115234375,27,2.141172311924122,0.7509997487068176,2.141172311924122,1.1214941822972286,1.0674048724227676,True,False,1.7977253198623657,9.995036125183105,0.05000000074505806,1.0,0.6121322512626648,0.3038286566734314,0.0,False,,1.0,current_wind_train,30.99527854984813,0.5410245995557884,0.5669373788524215,"[{""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 23, ""y"": 327, ""x"": 492, ""u"": 30.99527854984813, ""v"": 0.5410245995557884, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 22, ""y"": 327, ""x"": 493, ""u"": 30.830178756416476, ""v"": 3.240382361297254, ""base_weight"": 0.02201445027592186, ""time_conf"": 0.48857998421712295, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 23, ""y"": 327, ""x"": 492, ""u"": 22.874003593470288, ""v"": 2.4041546551560273, ""base_weight"": 0.02201445027592186, ""time_conf"": 0.48857998421712295, ""qc_flags"": ""ok""}]",4,2.7619904953417005,2.228676129117966,default_timepower15_8_4_conservative_v2,25,1202
20260203124800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,15,246,513,34.480000000000004,114.08,7500.0,-7.641242075048969,7.912737803725163,10.999999999999998,-3.8385839462280273,8.282257080078125,9.128554598223301,3.8026581288209416,0.3695192763529622,3.8026581288209416,0.3695192763529622,3.8205697664464133,0.3473245242224013,1.0,1,1.0,0.0,0,3,7.71758508682251,0.7161731719970703,14.205402374267578,27,6.145374121489348,3.2133662700653076,6.145374121489348,3.549203629775438,0.6072034963811057,True,True,21.44876480102539,10.36533260345459,0.16111010313034058,0.5162009000778198,0.7835608124732971,1.1851282119750977,0.9941920638084412,True,context_only_nearest_support;role_conflict_triggered_at_holdout_voxel,1.0,context_wind,10.998324646720304,-0.19197647081011443,0.03668314889628013,"[{""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 15, ""y"": 247, ""x"": 513, ""u"": 10.998324646720304, ""v"": -0.19197647081011443, ""base_weight"": 0.03668314889628013, ""time_conf"": 0.5946035575013605, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 15, ""y"": 246, ""x"": 514, ""u"": 14.917828430524102, ""v"": 1.5679269490148005, ""base_weight"": 0.12823098835990984, ""time_conf"": 0.9622238368941451, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 16, ""y"": 246, ""x"": 513, ""u"": -12.830062863787127, ""v"": 11.153003492838623, ""base_weight"": 0.095916841515065, ""time_conf"": 0.86055143724433, ""qc_flags"": ""ok""}]",2,25.219406939625173,19.640486654724175,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,9,591
20260207024800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,4,246,512,34.480000000000004,114.0,2000.0,-8.527346277223966,17.52345670858581,19.488128939161054,-4.434847831726074,10.89983081817627,11.767505562158474,4.092498445497892,-6.623625890409542,4.092498445497892,6.623625890409542,7.785946536067805,0.3995225278103575,1.0,2,1.0,0.0,0,3,3.439148187637329,2.5596837997436523,10.063093185424805,27,9.817998144361708,6.7965087890625,9.740790724986311,1.6080475504144496,0.9894377470053053,True,True,20.56386375427246,9.273870468139648,0.05658932030200958,0.8336910605430603,0.7967624068260193,0.4995267987251282,0.4712589383125305,True,context_only_nearest_support;role_conflict_triggered_at_holdout_voxel,0.0,context_wind,6.767713105082516,-4.781198535239202,0.05566702138326175,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 246, ""x"": 512, ""u"": 6.767713105082516, ""v"": -4.781198535239202, ""base_weight"": 0.05566702138326175, ""time_conf"": 0.5607203307746672, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 246, ""x"": 513, ""u"": 4.479875687736581, ""v"": -2.331368914148776, ""base_weight"": 0.04401224971737458, ""time_conf"": 0.551338225608389, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 4, ""y"": 245, ""x"": 512, ""u"": 9.457158420977693, ""v"": -0.06124273204150495, ""base_weight"": 0.20114573103364847, ""time_conf"": 0.92944696061351, ""qc_flags"": ""ok""}]",7,5.515103481033908,4.798145530649745,default_timepower15_8_4_conservative_v2,46,957
20260207024800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,7,247,515,34.400000000000006,114.24000000000001,3500.0,-4.706022062216803,13.18482646506976,13.999510440157371,-0.36262017488479614,4.6291728019714355,4.643353768747924,4.343401887332007,-8.555653663098324,4.343401887332007,8.555653663098324,9.59501691284424,0.6853823177502757,1.0,3,1.0,19.092669352442947,1,2,5.746507167816162,1.1384520530700684,8.584156036376953,27,10.199547432087085,4.064291000366211,10.199547432087085,4.250891950863403,5.5307259124780295,True,True,12.864983558654785,8.589412689208984,0.05000000074505806,1.0,0.7695189714431763,1.5166677236557007,1.4408342838287354,True,role_conflict_triggered_at_holdout_voxel,0.0,context_wind,7.2426591357271155,-4.878054504304124,0.17163784284219183,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 7, ""y"": 247, ""x"": 515, ""u"": 7.2426591357271155, ""v"": -4.878054504304124, ""base_weight"": 0.17163784284219183, ""time_conf"": 0.8136937285437262, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 8, ""y"": 247, ""x"": 515, ""u"": -3.370107423243181, ""v"": 10.993278425431676, ""base_weight"": 0.973165761934816, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 7, ""y"": 247, ""x"": 514, ""u"": -7.7178384955722965, ""v"": 15.147110911202253, ""base_weight"": 0.031556714151100534, ""time_conf"": 0.4558612442791084, ""qc_flags"": ""ok""}]",7,5.515103481033908,4.798145530649745,default_timepower15_8_4_conservative_v2,46,957
20260207024800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,11,244,514,34.64,114.16,5500.0,27.24042959871175,-22.629782906130437,35.413953169633075,25.002044677734375,-20.647602081298828,32.42569520881675,-2.2383849209773743,1.9821808248316088,2.2383849209773743,1.9821808248316088,2.989884258092444,0.08442672987595816,1.0,2,1.0,26.141204498359304,2,1,14.309318542480469,1.2211723327636719,45.81918716430664,27,9.850070264604357,2.3881964683532715,9.850070264604357,4.766385262260902,0.6016877897391724,True,True,32.11072540283203,9.247300148010254,0.0633617490530014,0.8900300860404968,0.8497445583343506,1.0428221225738525,0.9767470955848694,True,role_conflict_triggered_at_holdout_voxel,1.4142135623730951,current_wind_train,34.81957804731175,-23.486101945771374,0.5669373788524215,"[{""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 12, ""y"": 244, ""x"": 515, ""u"": 34.81957804731175, ""v"": -23.486101945771374, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""context_wind"", ""z"": 10, ""y"": 245, ""x"": 514, ""u"": 12.25671108990365, ""v"": -10.284601754984628, ""base_weight"": 0.04348967843048643, ""time_conf"": 0.6348309823580358, ""qc_flags"": ""ok""}, {""distance_vox"": 1.7320508075688772, ""source_role"": ""current_wind_train"", ""z"": 10, ""y"": 243, ""x"": 513, ""u"": 20.608090176972073, ""v"": -22.47041060859067, ""base_weight"": 0.973165761934816, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",7,5.515103481033908,4.798145530649745,default_timepower15_8_4_conservative_v2,46,957
20260207024800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,17,245,519,34.56,114.56,8500.0,69.72360836115557,-10.415851360490397,70.49731571105124,68.10967254638672,-12.341201782226562,69.21873124960943,-1.6139358147688512,-1.9253504217361659,1.6139358147688512,1.9253504217361659,2.512322244592287,0.03563713340362621,1.0,2,1.0,0.0,3,0,6.329800128936768,0.3267669677734375,71.80242919921875,27,4.970859381887648,1.9633076190948486,4.970859381887648,2.813088511915708,0.5490146254974384,True,True,60.29147720336914,9.081533432006836,0.05000000074505806,1.0,0.8353134393692017,0.33859503269195557,0.32166528701782227,True,role_conflict_triggered_at_holdout_voxel,1.0,current_wind_train,65.98010938676777,-16.450688900777386,0.5669373788524215,"[{""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 17, ""y"": 245, ""x"": 518, ""u"": 65.98010938676777, ""v"": -16.450688900777386, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.7320508075688772, ""source_role"": ""current_wind_train"", ""z"": 18, ""y"": 246, ""x"": 520, ""u"": 72.27546631795451, ""v"": -5.666318761572722, ""base_weight"": 0.973165761934816, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 2.23606797749979, ""source_role"": ""current_wind_train"", ""z"": 16, ""y"": 245, ""x"": 517, ""u"": 66.32705701974399, ""v"": -19.01897755137296, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",7,5.515103481033908,4.798145530649745,default_timepower15_8_4_conservative_v2,46,957
20260207024800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,21,244,522,34.64,114.8,10500.0,89.6575228282571,-7.84401684728921,90.0,87.08418273925781,-5.841367244720459,87.27987428183053,-2.573340088999288,2.0026496025687512,2.573340088999288,2.0026496025687512,3.2607797601677486,0.036230886224086094,1.0,1,1.0,0.0,3,0,10.337597846984863,1.29071044921875,97.59356689453125,27,7.356341247205381,2.570101261138916,7.356341247205381,3.1187986300850503,0.6906784990288326,True,True,63.24937438964844,10.756523132324219,0.05230763554573059,1.0,0.818901002407074,0.06669268757104874,0.06320415437221527,True,strong_truth_speed_ge_90mps;role_conflict_triggered_at_holdout_voxel,1.0,current_wind_train,82.79781617156542,-5.789787320762393,0.5669373788524215,"[{""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 20, ""y"": 244, ""x"": 522, ""u"": 82.79781617156542, ""v"": -5.789787320762393, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 21, ""y"": 243, ""x"": 522, ""u"": 94.63849631871582, ""v"": -8.2797955610275, ""base_weight"": 0.4535499030819372, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 20, ""y"": 245, ""x"": 522, ""u"": 75.95370285345128, ""v"": -2.6523617493900975, ""base_weight"": 0.973165761934816, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",7,5.515103481033908,4.798145530649745,default_timepower15_8_4_conservative_v2,46,957
