group_name,count,vector_rmse_mps,vector_mae_mps,u_bias_mean_mps,v_bias_mean_mps,speed_bias_mean_mps,obs_influence_proxy_mean,p50_vector_error_mps,p95_vector_error_mps,source_role,altitude_bin,time_conf_bin,speed_bin,obs_influence_bin
train_source_role,151404,39.34353960784139,33.888197679106874,-27.641587500585935,-4.686261545716994,-21.371759569560464,0.16103595739865043,31.556325130236047,65.22807865065877,context_wind,,,,
train_source_role,2928,39.1591138027477,34.08000896540816,-28.166224808034713,-3.2792861535880293,-21.39735013940228,0.7487653618841908,31.334832183582126,65.67270350448216,current_wind_train,,,,
train_altitude_bin,1616,14.818942831593814,12.169342775108106,-6.260309948470894,-3.0223824773532413,4.698380924984331,0.19848571477597982,9.950235832674103,27.212807381078314,,0-3km,,,
train_altitude_bin,69113,42.236271636920016,35.54925319703148,-27.817496863607463,-7.534009366719071,-21.958315915417238,0.16779056952300864,32.24457875877549,70.42652952196514,,12km+,,,
train_altitude_bin,10479,21.255478855099128,18.488985458859002,-14.17212726093142,1.122757410316218,-4.2332121515311245,0.18546125352814474,17.368575017056774,37.789368690765244,,3-6km,,,
train_altitude_bin,21858,31.037008095957614,28.330367229502237,-23.83896155204213,0.15038238508747018,-16.02967785372464,0.17566828777771218,27.924221535631233,49.61903909197291,,6-9km,,,
train_altitude_bin,51266,41.76275836616951,37.86178964618576,-32.48290397912006,-4.068793480199918,-27.185118677638933,0.17308556581543022,36.60867818856195,66.69325502310173,,9-12km,,,
train_time_conf_bin,46637,39.1028755324996,33.79380617420207,-27.668773312861404,-4.903804090766398,-21.62658231844476,0.11838912214612811,31.641036375070904,64.39262993843091,,,0.4-0.6,,
train_time_conf_bin,61841,38.91269785305376,33.603516755600076,-27.638022525219387,-4.604540965393312,-21.57226917236149,0.3091996782390152,31.183408105793205,64.37793573954742,,,ge0.6,,
train_time_conf_bin,45854,40.14551528754891,34.38038403255742,-27.652246002587102,-4.485374530106017,-20.843802276891594,0.04211938504981613,31.931597947912344,67.22502667070536,,,lt0.4,,
train_speed_bin,65476,38.85945867467832,35.7242147217863,-31.908353899167643,-5.595035196498452,-26.32698003819624,0.17244277384499937,34.592743034346725,62.89262213823398,,,,15-30,
train_speed_bin,43714,33.30920165619928,28.233243935789602,-20.451298279704176,-5.859314058320969,-15.112991747224017,0.16795535865405253,25.345050888657305,66.20938401852135,,,,30-60,
train_speed_bin,32914,38.64134622858901,34.919724171378355,-32.87416915856792,-1.3250310825805938,-28.084957700629417,0.17729481189157975,34.50578621684431,63.4799298962489,,,,5-15,
train_speed_bin,6183,75.23570977115378,52.731083885558284,-4.572505288879444,-9.389409713691105,28.43941765146795,0.14980702888421374,30.70117945967158,174.7739787215927,,,,60+,
train_speed_bin,6045,34.82905281864538,30.098287193428224,-28.781800395285803,0.830583897062661,-27.367954084255434,0.19508207889383058,28.24783322966363,61.35149635583046,,,,lt5,
train_obs_influence_bin,25200,37.45184040754826,33.048743859714676,-27.52184534639116,-4.763954468704158,-22.026647680687468,0.36905481413435853,30.9638530558334,63.665042548441065,,,,,0.30-0.70
train_obs_influence_bin,2898,37.78939169747834,33.513347098334485,-28.475251369078144,-3.0575808349033653,-22.221043045455026,0.7496296962745309,31.107168799794835,65.27646911539833,,,,,ge0.70
train_obs_influence_bin,126234,39.74080048338342,34.068831871781235,-27.658521784780582,-4.67550716173572,-21.222121003682442,0.11962914030762523,31.666010171545175,65.51857818474403,,,,,lt0.30
