group_type,group,points,mean_delta_vector_error_mps,median_delta_vector_error_mps,p90_delta_vector_error_mps,max_delta_vector_error_mps,mean_delta_floor10_relative_error,candidate_worse_gt5mps_points,candidate_better_gt5mps_points,baseline_label,candidate_label
all,all_holdout_points,530,1.3522251538117103,0.026673177301803852,2.2284045638889785,235.3357264433541,0.03491941189929734,31,3,tp26_thr11_preserve,tp26_srha_tail
speed,0-5mps_calm,34,-0.25736626491275366,-0.022742873683851528,0.465879258420617,2.234818072770925,-0.025736626491275363,0,0,tp26_thr11_preserve,tp26_srha_tail
speed,5-15mps_light,129,-0.09810444469648215,-0.01751421711929302,0.8309483306852538,7.98757706949257,-0.006038156260953919,2,1,tp26_thr11_preserve,tp26_srha_tail
speed,15-30mps_moderate,205,0.930694716773431,0.08476259387016749,3.0847593614159865,21.31125982511893,0.04351688383187163,14,1,tp26_thr11_preserve,tp26_srha_tail
speed,30-60mps_strong,137,1.6688878897455595,0.1337378929215951,2.870947990770949,65.74251539434778,0.04590889279758858,10,1,tp26_thr11_preserve,tp26_srha_tail
speed,60mps_plus_extreme,25,12.746208002375647,0.0,15.36329409584999,235.3357264433541,0.1980310506476275,5,0,tp26_thr11_preserve,tp26_srha_tail
altitude,0-3km,39,-0.030293306509543313,-0.06619035688529795,0.5062578469717807,5.187351419398081,-0.0020999971259609276,1,0,tp26_thr11_preserve,tp26_srha_tail
altitude,3-6km,47,0.14778541238949747,0.0036788707208472715,0.9831817855085716,7.98757706949257,0.01317383937900653,2,0,tp26_thr11_preserve,tp26_srha_tail
altitude,6-9km,85,0.12185850336616719,0.0026127257135917237,1.0419628966125831,13.74551192447954,-0.0035192586621418686,2,1,tp26_thr11_preserve,tp26_srha_tail
altitude,9-12km,137,0.8835183665727955,0.0783275371078318,2.0477804090134213,18.448576298509973,0.028260276541374734,8,0,tp26_thr11_preserve,tp26_srha_tail
altitude,12km+,222,2.6104273292125,0.04621396807900191,3.2504803934454447,235.3357264433541,0.06485358938666883,18,2,tp26_thr11_preserve,tp26_srha_tail
