kernel,confidence_mode,physics_constraint_mode,localization_policy,localization_candidate_grid,localization_radius_xy,localization_sigma_xy,localization_radius_z,localization_sigma_z,current_weight_boost,context_weight_scale,context_time_conf_power,role_conflict_mode,conflict_speed_threshold_mps,conflict_context_factor,vertical_risk_mode,vertical_localization_policy,vertical_gradient_preserve_weight,vertical_context_mismatch_damping,frames,official_holdout_frames,no_holdout_frames,holdout_points,mean_rmse_vector,mean_mae_vector,mean_bias_u,mean_bias_v,zero_filled_all_frame_mean_rmse_vector,zero_filled_all_frame_mean_mae_vector,mean_effective_reconstructed_voxels,mean_low_conf_fill_voxels,mean_obs_error_sigma_vector_mps,mean_obs_error_weight_factor,mean_adaptive_selected_radius_xy,mean_adaptive_score,mean_role_conflict_voxels,mean_role_conflict_threshold_mps,mean_role_conflict_context_factor,mean_vertical_context_mismatch_candidate_voxels,mean_vertical_oversmoothing_candidate_voxels,mean_strong_vertical_isolated_voxels,mean_vertical_localization_sigma_factor,mean_vertical_risk_candidate_voxels_last,mean_vertical_oversmooth_preserve_voxels_last,mean_vertical_context_mismatch_damped_voxels_last,all_strict_holdout_no_leakage,any_motion_used_as_wind
gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,preserve_strong_layers,fixed,0.12,0.35,11,11,0,30,9.329798740986,8.774771503290923,-3.7962344700289155,0.40806326817422817,9.329798740986,8.774771503290923,198353.0909090909,85311.54545454546,8.0,0.9998247771977588,8.0,8.0,1448.5454545454545,11.933632763949307,0.19441497325897217,1362.8181818181818,2201.0,3.4545454545454546,1.0,3580.090909090909,2203.6363636363635,1376.4545454545455,True,False
gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",10,5.0,2,1.0,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,preserve_strong_layers,fixed,0.12,0.35,14,14,0,28,11.889222401218543,9.592803823427342,-1.6540840551107967,5.954897810577722,11.889222401218543,9.592803823427342,216611.14285714287,86559.5,8.0,0.9998867349695432,10.0,10.0,799.1428571428571,12.579297815050397,0.23883851830448424,1397.4285714285713,2912.0,9.571428571428571,1.0,4333.857142857143,2912.8571428571427,1421.0,True,False
