time_str,kernel,confidence_mode,physics_constraint_mode,localization_policy,localization_candidate_grid,adaptive_selected_radius_xy,adaptive_selected_sigma_xy,adaptive_selected_radius_z,adaptive_selected_sigma_z,adaptive_score,adaptive_reasons,adaptive_current_support,adaptive_context_support,adaptive_context_time_conf_mean,adaptive_obs_error_weight_mean,adaptive_role_gap_mps,adaptive_no_holdout_inputs_used,localization_radius_xy,localization_sigma_xy,localization_radius_z,localization_sigma_z,wind_records_total,holdout_wind_records,fusion_current_wind_records,context_wind_records,trajectory_records,rmse_vector,mae_vector,bias_u,bias_v,effective_reconstructed_voxels,effective_reconstructed_fraction,support_pre_refine_voxels,low_conf_fill_voxels,low_conf_fill_fraction,mask_conf_positive_mismatch_voxels,speed_active_mean_mps,speed_active_max_mps,confidence_active_mean,field_smoothness_proxy,field_horizontal_divergence_proxy,field_vertical_shear_proxy,field_vertical_jump_mean_mps,field_vertical_jump_p95_mps,field_vertical_jump_p99_mps,strong_wind_voxels,rapid_vertical_change_voxels,strong_rapid_vertical_voxels,strong_layer_vertical_jump_mean_mps,vertical_oversmoothing_candidate_voxels,vertical_oversmoothing_candidate_fraction,vertical_context_mismatch_candidate_voxels,vertical_context_mismatch_candidate_fraction,strong_vertical_isolated_voxels,strong_vertical_isolated_fraction,speed_plausibility_violation_voxels,density_conf_factor_mean,speed_qc_conf_mean,local_consistency_conf_mean,obs_error_sigma_vector_mps_mean,obs_error_weight_factor_mean,representation_error_soft_weight_factor_mean,representation_error_soft_weight_factor_min,representation_error_soft_weight_factor_max,representation_error_soft_weight_score_mean,representation_error_soft_weight_current_factor_mean,representation_error_soft_weight_context_factor_mean,representation_error_soft_weight_changes_reconstruction,representation_error_soft_weight_uses_holdout_truth,diffusion_fill_new_voxels,observation_anchor_weight,speed_limit_mps,vertical_risk_mode,vertical_localization_policy,vertical_gradient_preserve_weight,vertical_context_mismatch_damping,vertical_localization_sigma_factor_mean,vertical_localization_sigma_factor_min,vertical_localization_sigma_factor_max,vertical_localization_reason_counts,guarded_vertical_dynamic_seed_source,guarded_vertical_dynamic_seed_truth_used,guard_active_fraction,guarded_fallback_fraction,dynamic_vertical_active_fraction,guard_active_count,guarded_fallback_count,dynamic_vertical_active_count,guard_12km_plus_fallback_count,guard_role_gap_fallback_count,guard_remote_support_fallback_count,guard_light_moderate_protected_count,guard_low_reliability_fallback_count,guard_high_tail_risk_fallback_count,guard_no_claim_fallback_count,guard_near_zero_confidence_fallback_count,guard_context_extreme_fallback_count,guard_strong_vertical_isolated_fallback_count,srha_horizontal_sigma_factor_mean,srha_horizontal_sigma_factor_min,srha_horizontal_sigma_factor_max,srha_horizontal_reason_counts,srha_high_altitude_gate_count,srha_high_speed_gate_count,srha_role_gap_gate_count,srha_stale_context_gate_count,srha_sparse_fresh_widen_gate_count,srha_dense_current_gate_count,point_regime_localization_enabled,point_regime_localization_uses_holdout_truth,point_regime_xy_sigma_factor_mean,point_regime_xy_sigma_factor_min,point_regime_xy_sigma_factor_max,point_regime_z_sigma_factor_mean,point_regime_z_sigma_factor_min,point_regime_z_sigma_factor_max,point_regime_remote_current_fraction,point_regime_role_gap_fraction,point_regime_vertical_gap_fraction,point_regime_stable_sparse_widen_fraction,point_regime_reason_counts,vertical_risk_refine_enabled,vertical_risk_candidate_voxels_last,vertical_oversmooth_preserve_voxels_last,vertical_context_mismatch_damped_voxels_last,current_weight_boost,context_weight_scale,context_time_conf_power,role_conflict_mode,conflict_speed_threshold_mps,conflict_context_factor,cma_fusion_mode,cma_proxy_npz,cma_background_weight,cma_background_weight_mode,cma_confidence_source,cma_confidence_cap,cma_time_confidence,cma_space_confidence,cma_pseudo_source,cma_qc_gating,background_independent_of_holdout,cma_temporal_conf_mean,cma_temporal_change_speed_mean_mps,cma_rapid_change_fraction,cma_effective_conf_mean,cma_background_active_voxels,cma_background_gate_mean,cma_background_gate_active_fraction,cma_background_no_current_gate_voxels,cma_background_localized_support_gate_voxels,cma_background_localized_support_gate_fraction,cma_background_sparse_current_gate_fraction,cma_strict_temporal_gate_active_fraction,cma_used_as_background_not_truth,role_conflict_voxels,role_overlap_voxels,role_conflict_fraction_of_overlap,role_conflict_context_weight_sum,role_conflict_context_weight_removed_sum,role_conflict_component_gap_mean_mps,role_conflict_component_gap_max_mps,role_conflict_threshold_mean_mps,role_conflict_threshold_min_mps,role_conflict_threshold_max_mps,role_conflict_context_factor_mean,role_conflict_context_factor_min,role_conflict_context_factor_max,role_conflict_current_density_mean,role_conflict_context_time_conf_mean,role_conflict_altitude_mean_m,qc_calibration_path,strict_holdout_no_leakage,motion_used_as_wind
20260127080600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,8.0,default_timepower15_8_4_conservative_v2,19,1280,0.5678405104712069,1.0,9.550225747227687,True,8,4.0,2,1.0,22,3,19,1280,4583,2.717531111934398,2.439769082896465,-1.5241921058281278,-1.1803442646206366,258305,0.020479064466577473,154468,103837,0.008232456270749715,0,14.077554702758789,198.2864227294922,0.14429233968257904,1.223655104637146,1.5248194932937622,2.736649513244629,4.44134521484375,19.21966552734375,41.8427619934082,1266,8002,442,30.687475204467773,338,0.2669826224328594,211,0.16666666666666666,0,0.0,133,0.35589801770116597,0.9960739030023094,0.9724293873565901,8.0,1.0,0.8478269189766185,0.6777639100481472,0.944609337358253,0.3381624022741812,0.8889381950883003,0.8472166734718357,False,False,103837,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 1299}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 1299}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,556,339,217,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,297,7570,0.0392338177014531,167.06173706054688,93.2288818359375,19.46223258972168,25.463314056396484,15.375335693359375,13.48633098602295,16.87592315673828,0.41909557580947876,0.16837970912456512,0.5224056839942932,0.07273657619953156,0.7867980003356934,13900.673828125,,True,False
20260131204800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,8.0,default_timepower15_8_4_conservative_v2,5,663,0.43546985592557824,1.0,10.22876319487269,True,8,4.0,2,1.0,6,1,5,663,935,7.29679027567331,7.29679027567331,7.07579746722204,1.7822004741371629,237748,0.018849254249046134,132288,105460,0.008361131757593777,0,16.481082916259766,104.23532104492188,0.12232324481010437,1.646996259689331,2.1164350509643555,3.617046356201172,6.019486427307129,27.358564376831055,61.18949890136719,16074,13093,3327,14.65156078338623,6888,0.42851810377006344,2244,0.13960432997387084,0,0.0,0,0.3293638677788012,0.9934131736526947,0.9923496827173321,8.0,1.0,0.8359457241035898,0.7169355506665015,0.9318235952061992,0.36456505754757784,0.8871641220950728,0.8355594616752983,False,False,105460,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 668}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 668}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,9203,6893,2310,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,2122,2948,0.7198100407055631,36.9793701171875,31.422718048095703,27.840974807739258,52.918087005615234,12.195401191711426,9.147780418395996,15.527520179748535,0.13138937950134277,0.05000000074505806,0.2941620945930481,0.38495922088623047,0.4466927945613861,11305.13671875,,True,False
20260203014200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,8.0,default_timepower15_8_4_conservative_v2,1,653,0.578338141794504,0.9998470948012232,41.76332616797934,True,8,4.0,2,1.0,2,1,1,653,4811,23.880174736655437,23.880174736655437,21.79602766992404,-9.756839819588222,173812,0.013780248748823151,94782,79030,0.006265695456122095,0,18.816741943359375,108.61778259277344,0.13531479239463806,1.8819355964660645,1.9378818273544312,4.731050491333008,8.117499351501465,49.64064407348633,69.25172424316406,13530,17282,4579,22.395288467407227,6647,0.49127864005912786,3982,0.2943089430894309,0,0.0,0,0.34145727044735064,0.998776758409786,0.9839750690794777,8.0,0.9998470948012232,0.8419155934615096,0.6848645340984175,0.9252409071773161,0.35129868119664553,0.8260926935236443,0.8419398245487038,False,False,79030,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 654}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 654}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,10690,6658,4032,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,584,1397,0.4180386542591267,29.84408187866211,24.295263290405273,41.28831481933594,86.4399642944336,13.590997695922852,10.909089088439941,15.446157455444336,0.2121896743774414,0.05000000074505806,0.34507909417152405,0.38147005438804626,0.6052947640419006,12907.5341796875,,True,False
20260206180600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",10,5.0,2,1.0,10.0,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,8,748,0.5320817022251951,0.9996031746031747,27.351827006415327,True,10,5.0,2,1.0,10,2,8,748,1187,6.468892088363268,5.303426443992542,4.363420912115605,1.0982040148500456,259126,0.020544155393687133,159352,99774,0.007910331499925673,0,27.017730712890625,128.14505004882812,0.14189887046813965,2.1857709884643555,2.599419355392456,5.186600685119629,8.594611167907715,41.488563537597656,75.6607894897461,32891,28500,7488,16.90492057800293,9798,0.2978930406494178,3891,0.11829983886169469,1,3.0403453832355356e-05,1215,0.3575333361023075,0.9922619047619047,0.9681908671495975,8.0,0.9996031746031747,0.8324109627531572,0.6716172461837487,0.9509355506665015,0.37242008277076183,0.9256230506665015,0.8314140420268112,False,False,99774,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 756}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 756}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,13832,9830,4002,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,3285,4609,0.7127359513994359,720.1099853515625,521.0118408203125,39.98323059082031,75.79390716552734,11.614659309387207,8.509185791015625,14.50130558013916,0.2376125603914261,0.05000000074505806,0.44826647639274597,0.3254145085811615,0.767207145690918,7989.64990234375,,True,False
20260210055400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",10,5.0,2,1.0,10.0,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,7,940,0.5016856278636452,0.9997888067581837,15.273791294169813,True,10,5.0,2,1.0,9,2,7,940,5159,5.71103874298432,4.697396997358809,3.1746351313681416,0.7688798155092109,279657,0.022171904266389177,166843,112814,0.00894417521431049,0,21.542816162109375,170.53793334960938,0.13793425261974335,1.9960143566131592,2.229179859161377,4.92692756652832,8.173243522644043,36.62641143798828,85.23340606689453,14033,23915,6468,36.8901481628418,5166,0.36813225967362645,4123,0.2938074538587615,10,0.0007126060001425212,2474,0.3412185619647502,0.9939281942977825,0.9756709034953865,8.0,0.9997888067581837,0.8381593476495376,0.6635609793801038,0.9357352053691056,0.3596458941121387,0.891664122095073,0.8377609078398368,False,False,112814,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 947}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 947}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,9350,5165,4185,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,2181,6024,0.36205179282868527,613.9937744140625,528.9220581054688,19.382843017578125,49.39451217651367,12.471941947937012,9.160240173339844,16.15460777282715,0.19644664227962494,0.05000000074505806,0.3721804618835449,0.36176598072052,0.5944668650627136,11658.642578125,,True,False
20260215020600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,8.0,default_timepower15_8_4_conservative_v2,24,436,0.5501784546916446,0.9996739130434783,26.621433085820353,True,8,4.0,2,1.0,28,4,24,436,5333,4.641052590322316,3.7371218055228614,2.2774501809658956,2.182725048895101,147846,0.01172159952430504,78019,69827,0.005536058669045141,0,19.64999771118164,105.04306030273438,0.13228924572467804,1.9607670307159424,2.080681324005127,4.750695705413818,8.123722076416016,39.310462951660156,74.61235046386719,12187,15911,3633,19.986034393310547,7041,0.5777467793550505,3391,0.27824731271026504,0,0.0,0,0.3513000756231728,0.9982608695652173,0.9891578570609331,8.0,0.9996739130434783,0.8461642976278595,0.7169355506665015,0.9339137105927138,0.3418571163825346,0.8660871890843062,0.8450676247036514,False,False,69827,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 460}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 460}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,10464,7047,3417,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,1465,4238,0.34568192543652665,32.506343841552734,23.891498565673828,46.49546813964844,88.57502746582031,14.267142295837402,12.010143280029297,16.74386978149414,0.27145901322364807,0.05000000074505806,0.49344801902770996,0.18251949548721313,0.611448347568512,12641.638671875,,True,False
20260219084800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",10,5.0,2,1.0,10.0,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,17,1044,0.5367375645510218,0.9999057492931198,7.723553524732613,True,10,5.0,2,1.0,20,3,17,1044,5016,2.363261005027124,2.2642003898306458,-0.14010035216763583,-0.3549612648946727,262160,0.02078469847876716,162943,99217,0.007866171151082702,0,16.883705139160156,131.39544677734375,0.14844080805778503,1.2973119020462036,1.6081243753433228,3.1553876399993896,5.018159866333008,21.736974716186523,40.083980560302734,2864,9284,1749,34.971797943115234,184,0.06424581005586592,161,0.05621508379888268,20,0.006983240223463687,99,0.34104368331793466,0.9952874646559849,0.9658929478264614,8.0,0.9999057492931198,0.8328541031942154,0.6963487987547077,0.9509355506665015,0.3714353262350768,0.8988718915682902,0.831779100893105,False,False,99217,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 1061}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 1061}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,345,184,161,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,1037,14822,0.0699635676696802,186.24520874023438,138.711181640625,21.724355697631836,102.6234130859375,12.471935272216797,8.42333984375,15.768954277038574,0.26551440358161926,0.05000000074505806,0.49134954810142517,0.213078573346138,0.7174506187438965,8795.564453125,,True,False
20260223065400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,"8:4,10:5",8,4.0,2,1.0,8.0,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5;v3_low_error_guard_prefers_8_4,7,813,0.5443178792079018,0.999390243902439,9.347341428834445,True,8,4.0,2,1.0,9,2,7,813,5274,2.837164705923647,2.4394183398467293,0.6260253924715924,-1.5832046323768711,180693,0.014325791586145385,104027,76666,0.00607827164164313,0,18.459388732910156,173.78912353515625,0.13057786226272583,1.4794871807098389,1.9592963457107544,3.366304636001587,5.488095760345459,24.158906936645508,41.564762115478516,4475,7491,1244,27.440143585205078,845,0.1888268156424581,650,0.1452513966480447,0,0.0,2702,0.31518860684804767,0.9968292682926829,0.9885170381189298,8.0,0.999390243902439,0.8303460209642604,0.6716172461837487,0.9509355506665015,0.37700884230164355,0.8836451654501998,0.8298871107411344,False,False,76666,0.1,120.0,preserve_strong_layers,fixed,0.12,0.35,1.0,1.0,1.0,"{""fixed"": 820}",,False,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,"{""fixed"": 820}",0,0,0,0,0,0,False,False,,,,,,,0.0,0.0,0.0,0.0,,1.0,1498,845,653,2.0,0.5,2.6,current_priority_adaptive,11.0,0.25,off,,0.1,fixed,dense,0.35,0.7,0.7,reanalysis,off,unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,False,1773,6924,0.25606585788561526,122.6915512084961,90.48826599121094,57.392333984375,70.05683898925781,14.320476531982422,11.561097145080566,16.362510681152344,0.27063339948654175,0.05000000074505806,0.3852382004261017,0.19457028806209564,0.6027129292488098,12921.6015625,,True,False
