time_str,kernel,confidence_mode,physics_constraint_mode,localization_policy,localization_radius_xy,localization_sigma_xy,localization_radius_z,localization_sigma_z,strict_holdout_no_leakage,motion_used_as_wind,z,y,x,lat,lon,alt_m,gt_u,gt_v,gt_speed,pred_u,pred_v,pred_speed,u_error,v_error,abs_u_error,abs_v_error,vector_error,error_to_truth_speed_ratio,recon_confidence,obs_count,obs_conf,nearest_role_gap_mps,nearest_current_count,nearest_context_count,recon_vertical_jump_mps,vertical_speed_gap_mps,vertical_neighbor_max_speed_mps,point_neighbor_count,point_neighbor_mean_vector_error,point_neighbor_min_vector_error,point_neighbor_weighted_vector_error,point_neighbor_std_vector_error,representativeness_gap_point_minus_min_mps,representation_equivalent_error_r1_min_mps,representation_equivalent_error_r1_weighted_mps,representation_equivalent_gain_r1_min_mps,representation_equivalent_gain_r1_weighted_mps,representation_equivalent_local_sigma_r1_mps,role_overlap_at_point,role_conflict_at_point,role_conflict_component_gap_at_point_mps,role_conflict_threshold_at_point_mps,role_conflict_context_factor_at_point,role_conflict_current_density_at_point,role_conflict_context_time_conf_at_point,role_conflict_context_weight_at_point,role_conflict_context_removed_weight_at_point,qc_review_flag,qc_review_reasons,nearest_train_distance_vox,nearest_train_source_role,nearest_train_u,nearest_train_v,nearest_train_base_weight,nearest_observations_json,tail_risk_score_at_point,reliability_confidence_at_point,no_claim_at_point,reliability_distance_factor_at_point,reliability_role_consistency_factor_at_point,reliability_support_count_factor_at_point,reliability_vertical_consistency_factor_at_point,frame_holdout_wind_records,frame_rmse_vector,frame_mae_vector,adaptive_reasons,adaptive_current_support,adaptive_context_support
20260127080600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,21,375,514,24.160000000000004,114.16,10500.0,12.727922061357859,-12.727922061357852,18.0,13.401810646057129,-13.63630199432373,19.11955179059299,0.6738885846992702,-0.9083799329658788,0.6738885846992702,0.9083799329658788,1.1310525749067017,0.06283625416148343,1.0,1,1.0,2.3987254559299904,1,2,3.1276042461395264,0.7494907379150391,21.07110595703125,27,1.927428318394555,0.7712786197662354,1.927428318394555,1.3471625454019844,0.3597739551404664,0.7712786197662354,1.927428318394555,0.3597739551404664,0.0,1.3471625454019844,True,False,2.7446377277374268,11.29929256439209,0.16658121347427368,0.6697914004325867,0.8163021802902222,0.873255729675293,0.0,False,,0.0,context_wind,13.382612127177163,-14.862896509547884,0.09032450765511005,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 21, ""y"": 375, ""x"": 514, ""u"": 13.382612127177163, ""v"": -14.862896509547884, ""base_weight"": 0.09032450765511005, ""time_conf"": 0.8408964152537145, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 21, ""y"": 375, ""x"": 513, ""u"": 13.382612127177163, ""v"": -14.862896509547884, ""base_weight"": 0.09032450765511005, ""time_conf"": 0.8408964152537145, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 21, ""y"": 376, ""x"": 513, ""u"": 12.948116406095721, ""v"": -12.50385066826195, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,3,2.717531111934398,2.439769082896465,default_timepower15_8_4_conservative_v2,19,1280
20260127080600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,23,327,498,28.000000000000004,112.88,11500.0,31.878230338935857,2.788983767925064,32.0,30.547651290893555,1.0817526578903198,30.566798788929198,-1.3305790480423028,-1.7072311100347441,1.3305790480423028,1.7072311100347441,2.164504254132947,0.0676407579416546,1.0,1,1.0,4.370513944684198,1,2,0.5107394456863403,0.04390907287597656,30.935707092285156,27,2.311381039796052,1.9765071868896484,2.311381039796052,0.1709930998537744,0.18799706724329868,1.9765071868896484,2.311381039796052,0.18799706724329868,0.0,0.1709930998537744,True,False,2.944559335708618,10.575554847717285,0.054023534059524536,1.0,0.7880470752716064,0.8659070134162903,0.0,False,,1.0,current_wind_train,30.768930700880986,3.7779496455595623,0.5669373788524215,"[{""distance_vox"": 1.0, ""source_role"": ""current_wind_train"", ""z"": 23, ""y"": 327, ""x"": 497, ""u"": 30.768930700880986, ""v"": 3.7779496455595623, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 23, ""y"": 328, ""x"": 498, ""u"": 29.995430854691737, ""v"": -0.5235721931184939, ""base_weight"": 0.07930103569047939, ""time_conf"": 0.7998369177983302, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 23, ""y"": 327, ""x"": 499, ""u"": 32.504876715236996, ""v"": 0.7067891357591329, ""base_weight"": 0.16935855540737624, ""time_conf"": 0.8994251415100181, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,3,2.717531111934398,2.439769082896465,default_timepower15_8_4_conservative_v2,19,1280
20260127080600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,29,324,486,28.240000000000002,111.91999999999999,14500.0,28.929357457534906,-2.0229377385796314,29.000000000000004,25.013471603393555,-2.948359489440918,25.186635053788983,-3.915885854141351,-0.9254217508612865,3.915885854141351,0.9254217508612865,4.023750419649746,0.13875001447068086,1.0,1,1.0,4.807767471227031,1,2,2.197200298309326,0.19214820861816406,26.942779541015625,27,4.166186253229777,2.0891382694244385,4.195372841297359,1.5935250714880258,1.9346121502253073,2.0891382694244385,4.195372841297359,1.9346121502253073,0.0,1.5935250714880258,True,False,6.651190280914307,14.514729499816895,0.3428349494934082,0.4288961589336395,0.8630400896072388,0.4511798322200775,0.0,False,,1.7320508075688772,current_wind_train,21.78589751231455,-3.0618082211214404,0.5669373788524215,"[{""distance_vox"": 1.7320508075688772, ""source_role"": ""current_wind_train"", ""z"": 28, ""y"": 325, ""x"": 487, ""u"": 21.78589751231455, ""v"": -3.0618082211214404, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 2.0, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 324, ""x"": 484, ""u"": 21.03870463118678, ""v"": -6.432177503900208, ""base_weight"": 0.013751242026268947, ""time_conf"": 0.4076931311685346, ""qc_flags"": ""ok""}, {""distance_vox"": 2.23606797749979, ""source_role"": ""context_wind"", ""z"": 27, ""y"": 325, ""x"": 486, ""u"": 22.943973155975957, ""v"": 1.6043988961148883, ""base_weight"": 0.013751242026268947, ""time_conf"": 0.4076931311685346, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,3,2.717531111934398,2.439769082896465,default_timepower15_8_4_conservative_v2,19,1280
20260131204800,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,18,299,523,30.240000000000002,114.88,9000.0,8.571673007021124,-5.150380749100542,10.0,15.647470474243164,-3.368180274963379,16.005873003587276,7.07579746722204,1.7822004741371629,7.07579746722204,1.7822004741371629,7.29679027567331,0.7296790275673309,0.7809268832206726,1,1.0,0.0,3,0,8.448906898498535,1.3564987182617188,18.7199764251709,27,7.365402945765743,5.419473171234131,7.319927193696932,0.8629751876588017,1.8773171044391788,5.419473171234131,7.319927193696932,1.8773171044391788,0.0,0.8629751876588017,True,False,8.047804832458496,11.327630996704102,0.05000000074505806,0.1522248387336731,0.26486578583717346,0.0002181645977543667,0.0,False,,2.23606797749979,current_wind_train,15.65036161174089,-3.326587053084151,0.5669373788524215,"[{""distance_vox"": 2.23606797749979, ""source_role"": ""current_wind_train"", ""z"": 20, ""y"": 299, ""x"": 522, ""u"": 15.65036161174089, ""v"": -3.326587053084151, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 4.123105625617661, ""source_role"": ""current_wind_train"", ""z"": 22, ""y"": 299, ""x"": 522, ""u"": 26.7372378560224, ""v"": -3.7576737259217676, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 5.0990195135927845, ""source_role"": ""current_wind_train"", ""z"": 23, ""y"": 299, ""x"": 522, ""u"": 29.448815503429916, ""v"": -5.724269861296353, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.1,0.3904634416103363,False,0.5,1.0,1.0,1.0,1,7.29679027567331,7.29679027567331,default_timepower15_8_4_conservative_v2,5,663
20260203014200,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,14,322,507,28.400000000000002,113.6,7000.0,17.809010019284944,11.128304548897304,21.0,39.605037689208984,1.371464729309082,39.62877648713625,21.79602766992404,-9.756839819588222,21.79602766992404,9.756839819588222,23.880174736655437,1.1371511779359733,0.24984091520309448,1,1.0,0.0,0,3,8.828285217285156,3.7264785766601562,39.67783737182617,27,21.04524760776096,12.557319641113281,22.86847824735379,4.492928434548588,11.322855095542156,12.557319641113281,22.86847824735379,11.322855095542156,1.0116964893016487,4.492928434548588,False,False,0.0,12.15057373046875,0.2394595742225647,0.0,0.5789191722869873,0.05589616298675537,0.0,True,context_only_nearest_support,3.0,context_wind,33.87061973511935,-2.9632952534203683,0.034544375220854066,"[{""distance_vox"": 3.0, ""source_role"": ""context_wind"", ""z"": 13, ""y"": 320, ""x"": 509, ""u"": 33.87061973511935, ""v"": -2.9632952534203683, ""base_weight"": 0.034544375220854066, ""time_conf"": 0.5810227934789198, ""qc_flags"": ""ok""}, {""distance_vox"": 3.1622776601683795, ""source_role"": ""context_wind"", ""z"": 17, ""y"": 321, ""x"": 507, ""u"": 23.33951066243004, ""v"": 8.959198738632518, ""base_weight"": 0.058141243607568435, ""time_conf"": 0.7098349699814569, ""qc_flags"": ""ok""}, {""distance_vox"": 3.3166247903554, ""source_role"": ""context_wind"", ""z"": 17, ""y"": 323, ""x"": 508, ""u"": 21.190742228614248, ""v"": 11.267317506861378, ""base_weight"": 0.025581794792437787, ""time_conf"": 0.5176324619206887, ""qc_flags"": ""ok""}]",0.2,0.12492045760154724,False,0.5,1.0,1.0,1.0,1,23.880174736655437,23.880174736655437,default_timepower15_8_4_conservative_v2,1,653
20260206180600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,11,297,524,30.400000000000002,114.96000000000001,5500.0,-3.6253709121543514,-18.650916485505615,19.0,5.360896587371826,-18.032670974731445,18.812666868453736,8.986267499526178,0.6182455107741696,8.986267499526178,0.6182455107741696,9.007509704942477,0.4740794581548672,0.4598580002784729,1,1.0,0.0,3,0,13.34591293334961,3.105541229248047,26.406536102294922,27,11.911278159530074,3.958460807800293,8.578185252929378,7.651529411434769,5.049048897142184,3.958460807800293,8.578185252929378,5.049048897142184,0.4293244520130983,7.651529411434769,True,True,21.94367790222168,12.84073257446289,0.3748759627342224,0.09107697010040283,0.9135057330131531,0.07461220771074295,0.04664188623428345,True,role_conflict_triggered_at_holdout_voxel,2.23606797749979,current_wind_train,-0.6281909406450175,-17.989034886343724,0.5669373788524215,"[{""distance_vox"": 2.23606797749979, ""source_role"": ""current_wind_train"", ""z"": 13, ""y"": 297, ""x"": 523, ""u"": -0.6281909406450175, ""v"": -17.989034886343724, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 3.605551275463989, ""source_role"": ""current_wind_train"", ""z"": 14, ""y"": 297, ""x"": 522, ""u"": 0.5234924505375124, ""v"": -14.990862405286437, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 6.708203932499369, ""source_role"": ""current_wind_train"", ""z"": 17, ""y"": 297, ""x"": 521, ""u"": 4.158233816355198, ""v"": -19.56295201467611, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.175,0.11496450006961823,False,0.5,1.0,1.0,0.5,2,6.468892088363268,5.303426443992542,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,8,748
20260206180600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,18,297,520,30.400000000000002,114.64,9000.0,6.211657082460496,-23.18221983093764,24.000000000000004,5.952231407165527,-21.60405731201172,22.4090238757768,-0.2594256752949686,1.5781625189259216,0.2594256752949686,1.5781625189259216,1.599343183042608,0.06663929929344199,1.0,1,1.0,0.0,3,0,0.47847670316696167,0.08356285095214844,22.690425872802734,27,1.6723845932218764,1.322224736213684,1.6723845932218764,0.2798769435082715,0.27711844682892384,1.322224736213684,1.6723845932218764,0.27711844682892384,0.0,0.2798769435082715,True,True,30.501056671142578,9.470993041992188,0.05000000074505806,1.0,0.848661482334137,0.1887817233800888,0.1793426275253296,True,role_conflict_triggered_at_holdout_voxel,1.4142135623730951,current_wind_train,4.158233816355198,-19.56295201467611,0.5669373788524215,"[{""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 17, ""y"": 297, ""x"": 521, ""u"": 4.158233816355198, ""v"": -19.56295201467611, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""current_wind_train"", ""z"": 18, ""y"": 296, ""x"": 519, ""u"": 6.211657082460496, ""v"": -23.18221983093764, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 2.23606797749979, ""source_role"": ""current_wind_train"", ""z"": 18, ""y"": 296, ""x"": 518, ""u"": 5.173874249908903, ""v"": -22.410511490060408, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,2,6.468892088363268,5.303426443992542,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,8,748
20260210055400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,17,245,508,34.56,113.68,8500.0,12.931275550434414,-17.798373876248842,22.000000000000004,20.729713439941406,-16.276548385620117,26.35615766100059,7.798437889506992,1.521825490628725,7.798437889506992,1.521825490628725,7.9455387696760775,0.3611608531670944,1.0,1,1.0,0.0,0,3,1.0786112546920776,0.6851329803466797,26.046878814697266,27,7.567087226443821,7.146640300750732,7.567087226443821,0.2804297023725133,0.7988984689253451,7.146640300750732,7.567087226443821,0.7988984689253451,0.3784515432322566,0.2804297023725133,False,False,0.0,11.96340560913086,0.271208792924881,0.0,0.6252747774124146,1.1720702648162842,0.0,True,context_only_nearest_support,0.0,context_wind,19.320806261577854,-22.64254046509456,0.046236001737498006,"[{""distance_vox"": 0.0, ""source_role"": ""context_wind"", ""z"": 17, ""y"": 245, ""x"": 508, ""u"": 19.320806261577854, ""v"": -22.64254046509456, ""base_weight"": 0.046236001737498006, ""time_conf"": 0.5681665349385323, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 17, ""y"": 246, ""x"": 508, ""u"": 27.118971252498692, ""v"": -24.47658487927704, ""base_weight"": 0.16343810509142792, ""time_conf"": 0.7961392362291483, ""qc_flags"": ""ok""}, {""distance_vox"": 1.0, ""source_role"": ""context_wind"", ""z"": 18, ""y"": 245, ""x"": 508, ""u"": 17.218732881436278, ""v"": -17.22163859464969, ""base_weight"": 0.024641190312354157, ""time_conf"": 0.4856670491894896, ""qc_flags"": ""ok""}]",0.1,1.0,False,1.0,1.0,1.0,1.0,2,5.71103874298432,4.697396997358809,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,7,940
20260210055400,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,10,5.0,2,1.0,True,False,29,392,509,22.800000000000004,113.76,14500.0,28.64296187725899,4.5365994861667,28.999999999999996,27.19379425048828,4.5525336265563965,27.57223255666498,-1.4491676267707092,0.01593414038969687,1.4491676267707092,0.01593414038969687,1.4492552250415411,0.04997431810488073,1.0,1,1.0,0.0,0,3,0.4232090413570404,0.14146041870117188,27.71042823791504,27,1.4313741370483681,0.8627429008483887,1.450205426387439,0.3463057319582651,0.5865123241931525,0.8627429008483887,1.450205426387439,0.5865123241931525,0.0,0.3463057319582651,False,False,0.0,15.78395938873291,0.45293760299682617,0.0,0.7830181121826172,0.2539237141609192,0.0,True,context_only_nearest_support,1.4142135623730951,context_wind,26.307991749201346,6.073678467284362,0.07174584399524446,"[{""distance_vox"": 1.4142135623730951, ""source_role"": ""context_wind"", ""z"": 28, ""y"": 391, ""x"": 509, ""u"": 26.307991749201346, ""v"": 6.073678467284362, ""base_weight"": 0.07174584399524446, ""time_conf"": 0.7696221479334963, ""qc_flags"": ""ok""}, {""distance_vox"": 1.4142135623730951, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 391, ""x"": 508, ""u"": 26.40998521981275, ""v"": 5.613615652079515, ""base_weight"": 0.07174584399524446, ""time_conf"": 0.7696221479334963, ""qc_flags"": ""ok""}, {""distance_vox"": 3.0, ""source_role"": ""context_wind"", ""z"": 29, ""y"": 389, ""x"": 509, ""u"": 27.655273536663856, ""v"": 4.380165021126469, ""base_weight"": 0.09884153979646437, ""time_conf"": 0.8705505632961241, ""qc_flags"": ""ok""}]",0.1,1.0,False,1.0,1.0,1.0,1.0,2,5.71103874298432,4.697396997358809,default_timepower15_8_4_conservative_v2;moderate_current_support_fresh_context_prefers_10_5,7,940
20260215020600,gaussian,diagnostic_weighted,pydda_3dvar_proxy,diagnostic_adaptive_v3,8,4.0,2,1.0,True,False,16,380,515,23.760000000000005,114.24000000000001,8000.0,36.871237598487866,9.193032032787375,38.0,41.64299774169922,11.045125007629395,43.0828741769781,4.771760143211353,1.8520929748420194,4.771760143211353,1.8520929748420194,5.11858801348571,0.13469968456541342,1.0,1,1.0,0.0,3,0,2.47609281539917,0.18399429321289062,43.041847229003906,27,5.251054887418394,4.795050144195557,5.3991256008009,0.42978789408003126,0.3235378692901536,4.795050144195557,5.3991256008009,0.3235378692901536,0.0,0.42978789408003126,False,False,0.0,12.128687858581543,0.29127007722854614,0.45351406931877136,1.0,0.0,0.0,False,,1.7320508075688772,current_wind_train,41.89791278576511,9.672895336786206,0.5669373788524215,"[{""distance_vox"": 1.7320508075688772, ""source_role"": ""current_wind_train"", ""z"": 17, ""y"": 379, ""x"": 516, ""u"": 41.89791278576511, ""v"": 9.672895336786206, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 2.449489742783178, ""source_role"": ""current_wind_train"", ""z"": 18, ""y"": 379, ""x"": 516, ""u"": 40.502213551907374, ""v"": 17.192169653528047, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}, {""distance_vox"": 3.3166247903554, ""source_role"": ""current_wind_train"", ""z"": 19, ""y"": 379, ""x"": 516, ""u"": 37.749349944565004, ""v"": 18.411588165141264, ""base_weight"": 0.5669373788524215, ""time_conf"": 1.0, ""qc_flags"": ""ok""}]",0.0,1.0,False,1.0,1.0,1.0,1.0,4,4.641052590322316,3.7371218055228614,default_timepower15_8_4_conservative_v2,24,436
